iter	Passed	Remaining
249	1715	5145
250	1721	5136
251	1728	5130
252	1735	5122
253	1741	5115
254	1748	5108
255	1755	5101
256	1762	5094
257	1768	5087
258	1776	5082
259	1782	5074
260	1790	5069
261	1797	5063
262	1805	5060
263	1814	5057
264	1821	5053
265	1829	5048
266	1836	5042
267	1843	5034
268	1849	5026
269	1856	5018
270	1863	5013
271	1870	5007
272	1877	5000
273	1884	4993
274	1891	4986
275	1897	4977
276	1904	4969
277	1910	4962
278	1918	4957
279	1925	4950
280	1932	4944
281	1939	4937
282	1947	4933
283	1954	4927
284	1960	4919
285	1967	4911
286	1973	4904
287	1980	4896
288	1987	4889
289	1994	4884
290	2002	4880
291	2010	4873
292	2017	4867
293	2023	4859
294	2029	4850
295	2036	4843
296	2044	4838
297	2051	4831
298	2057	4824
299	2064	4817
300	2071	4809
301	2078	4802
302	2084	4794
303	2090	4787
304	2097	4778
305	2103	4771
306	2110	4763
307	2116	4755
308	2123	4748
309	2129	4740
310	2136	4734
311	2144	4728
312	2151	4721
313	2157	4714
314	2163	4705
315	2170	4698
316	2177	4692
317	2186	4690
318	2193	4682
319	2200	4675
320	2206	4668
321	2213	4661
322	2220	4654
323	2227	4646
324	2234	4640
325	2240	4632
326	2249	4628
327	2256	4622
328	2262	4615
329	2269	4607
330	2275	4599
331	2282	4593
332	2290	4587
333	2297	4582
334	2305	4576
335	2313	4571
336	2321	4566
337	2328	4560
338	2335	4553
339	2342	4547
340	2350	4542
341	2358	4536
342	2365	4531
343	2374	4527
344	2380	4519
345	2388	4514
346	2395	4507
347	2401	4499
348	2408	4492
349	2415	4485
350	2422	4479
351	2430	4474
352	2437	4468
353	2444	4461
354	2452	4455
355	2459	4449
356	2467	4444
357	2474	4437
358	2481	4431
359	2488	4423
360	2495	4416
361	2501	4409
362	2508	4401
363	2515	4394
364	2521	4387
365	2529	4381
366	2535	4374
367	2542	4366
368	2549	4360
369	2556	4353
370	2562	4345
371	2570	4338
372	2576	4331
373	2583	4324
374	2590	4318
375	2597	4310
376	2603	4302
377	2610	4294
378	2616	4287
379	2623	4281
380	2630	4274
381	2637	4266
382	2644	4259
383	2650	4252
384	2657	4245
385	2664	4238
386	2671	4231
387	2678	4224
388	2684	4216
389	2691	4209
390	2698	4202
391	2705	4195
392	2712	4189
393	2720	4183
394	2727	4177
395	2734	4170
396	2741	4163
397	2747	4156
398	2754	4149
399	2763	4144
400	2770	4138
401	2777	4130
402	2783	4123
403	2790	4115
404	2796	4108
405	2802	4100
406	2809	4093
407	2816	4087
408	2823	4080
409	2830	4073
410	2836	4065
411	2843	4058
412	2850	4050
413	2856	4043
414	2863	4036
415	2870	4030
416	2877	4023
417	2885	4016
418	2892	4010
419	2899	4003
420	2905	3996
421	2912	3989
422	2920	3983
423	2927	3977
424	2934	3970
425	2941	3963
426	2947	3955
427	2954	3949
428	2962	3942
429	2968	3935
430	2975	3928
431	2982	3922
432	2989	3915
433	2996	3908
434	3003	3901
435	3010	3893
436	3016	3886
437	3023	3879
438	3030	3872
439	3037	3865
440	3044	3858
441	3051	3851
442	3057	3844
443	3064	3838
444	3071	3831
445	3079	3825
446	3087	3819
447	3093	3812
448	3100	3804
449	3106	3797
450	3113	3790
451	3120	3783
452	3127	3775
453	3134	3769
454	3141	3763
455	3147	3755
456	3154	3747
457	3161	3741
458	3168	3735
459	3176	3728
460	3183	3722
461	3190	3714
462	3197	3708
463	3203	3700
464	3210	3693
465	3217	3686
466	3223	3679
467	3230	3672
468	3237	3665
469	3244	3658
470	3250	3651
471	3257	3644
472	3264	3636
473	3271	3629
474	3278	3623
475	3284	3616
476	3291	3609
477	3298	3602
478	3304	3594
479	3311	3587
480	3317	3579
481	3324	3573
482	3331	3566
483	3338	3559
484	3344	3551
485	3351	3544
486	3358	3537
487	3364	3529
488	3372	3523
489	3378	3516
490	3384	3508
491	3391	3501
492	3397	3494
493	3403	3486
494	3410	3479
495	3417	3472
496	3423	3465
497	3430	3457
498	3436	3450
499	3443	3443
500	3450	3436
501	3457	3429
502	3463	3422
503	3470	3415
504	3476	3407
505	3482	3399
506	3488	3392
507	3495	3385
508	3501	3377
509	3508	3370
510	3515	3363
511	3521	3356
512	3528	3349
513	3534	3342
514	3541	3335
515	3549	3328
516	3556	3322
517	3563	3315
518	3570	3308
519	3577	3302
520	3584	3295
521	3591	3288
522	3598	3281
523	3605	3275
524	3612	3268
525	3618	3260
526	3625	3253
527	3632	3246
528	3638	3239
529	3645	3233
530	3651	3225
531	3658	3218
532	3664	3210
533	3671	3203
534	3677	3196
535	3684	3189
536	3690	3182
537	3698	3175
538	3705	3169
539	3712	3162
540	3718	3155
541	3725	3148
542	3732	3141
543	3739	3134
544	3745	3127
545	3752	3120
546	3759	3113
547	3766	3107
548	3774	3100
549	3781	3094
550	3789	3087
551	3796	3081
552	3803	3074
553	3810	3067
554	3816	3060
555	3824	3053
556	3831	3046
557	3838	3040
558	3845	3033
559	3852	3026
560	3859	3019
561	3866	3013
562	3873	3006
563	3880	2999
564	3887	2993
565	3895	2986
566	3903	2980
567	3910	2974
568	3917	2967
569	3925	2961
570	3932	2954
571	3939	2947
572	3946	2940
573	3952	2933
574	3958	2925
575	3965	2919
576	3972	2911
577	3978	2904
578	3985	2897
579	3991	2890
580	3998	2883
581	4005	2877
582	4013	2870
583	4020	2863
584	4027	2856
585	4033	2849
586	4040	2843
587	4047	2836
588	4054	2829
589	4060	2822
590	4068	2815
591	4075	2808
592	4081	2801
593	4089	2794
594	4096	2788
595	4103	2781
596	4109	2774
597	4116	2767
598	4123	2760
599	4129	2753
600	4136	2746
601	4143	2739
602	4150	2732
603	4157	2725
604	4164	2718
605	4171	2712
606	4178	2705
607	4185	2698
608	4192	2692
609	4200	2685
610	4207	2678
611	4213	2671
612	4220	2664
613	4227	2657
614	4234	2650
615	4241	2644
616	4248	2637
617	4256	2630
618	4263	2624
619	4270	2617
620	4276	2610
621	4284	2603
622	4291	2596
623	4297	2589
624	4304	2582
625	4312	2576
626	4319	2569
627	4327	2563
628	4335	2557
629	4343	2550
630	4350	2543
631	4357	2537
632	4364	2530
633	4372	2523
634	4379	2517
635	4387	2510
636	4394	2504
637	4401	2497
638	4408	2490
639	4415	2483
640	4422	2476
641	4429	2469
642	4437	2463
643	4443	2456
644	4450	2449
645	4456	2442
646	4463	2435
647	4470	2428
648	4477	2421
649	4484	2414
650	4491	2408
651	4498	2401
652	4505	2394
653	4512	2387
654	4518	2380
655	4527	2373
656	4533	2367
657	4541	2360
658	4548	2353
659	4556	2347
660	4563	2340
661	4570	2333
662	4576	2326
663	4583	2319
664	4590	2312
665	4598	2306
666	4605	2299
667	4612	2292
668	4620	2285
669	4627	2279
670	4634	2272
671	4641	2265
672	4649	2259
673	4656	2252
674	4663	2245
675	4670	2238
676	4677	2231
677	4683	2224
678	4691	2217
679	4698	2210
680	4704	2203
681	4711	2196
682	4719	2190
683	4725	2183
684	4734	2177
685	4740	2169
686	4747	2163
687	4754	2156
688	4761	2149
689	4768	2142
690	4774	2135
691	4781	2128
692	4787	2120
693	4794	2113
694	4803	2107
695	4810	2100
696	4816	2093
697	4823	2086
698	4829	2079
699	4835	2072
700	4842	2065
701	4849	2058
702	4857	2051
703	4864	2045
704	4870	2037
705	4876	2030
706	4883	2023
707	4889	2016
708	4896	2009
709	4904	2003
710	4912	1996
711	4919	1990
712	4927	1983
713	4935	1976
714	4942	1969
715	4949	1963
716	4956	1956
717	4963	1949
718	4969	1942
719	4976	1935
720	4982	1928
721	4989	1921
722	4997	1914
723	5004	1907
724	5011	1901
725	5018	1894
726	5025	1887
727	5031	1880
728	5038	1873
729	5045	1866
730	5052	1859
731	5059	1852
732	5066	1845
733	5072	1838
734	5079	1831
735	5085	1824
736	5092	1817
737	5100	1810
738	5107	1804
739	5114	1797
740	5121	1790
741	5128	1783
742	5135	1776
743	5142	1769
744	5149	1762
745	5156	1755
746	5164	1748
747	5171	1742
748	5177	1735
749	5184	1728
750	5190	1721
751	5197	1714
752	5204	1707
753	5211	1700
754	5218	1693
755	5225	1686
756	5233	1680
757	5240	1673
758	5247	1666
759	5254	1659
760	5260	1652
761	5267	1645
762	5274	1638
763	5282	1631
764	5289	1624
765	5296	1618
766	5303	1611
767	5310	1604
768	5317	1597
769	5325	1590
770	5332	1583
771	5339	1576
772	5346	1570
773	5354	1563
774	5362	1556
775	5369	1550
776	5377	1543
777	5384	1536
778	5391	1529
779	5398	1522
780	5405	1515
781	5411	1508
782	5418	1501
783	5425	1494
784	5432	1487
785	5439	1481
786	5446	1474
787	5454	1467
788	5461	1460
789	5469	1453
790	5476	1446
791	5483	1440
792	5490	1433
793	5497	1426
794	5504	1419
795	5512	1412
796	5519	1405
797	5525	1398
798	5532	1391
799	5539	1384
800	5545	1377
801	5553	1371
802	5561	1364
803	5568	1357
804	5575	1350
805	5582	1343
806	5589	1336
807	5596	1329
808	5603	1322
809	5610	1316
810	5617	1309
811	5624	1302
812	5631	1295
813	5638	1288
814	5646	1281
815	5655	1275
816	5663	1268
817	5670	1261
818	5678	1254
819	5685	1248
820	5692	1241
821	5700	1234
822	5706	1227
823	5713	1220
824	5720	1213
825	5726	1206
826	5733	1199
827	5740	1192
828	5746	1185
829	5753	1178
830	5760	1171
831	5766	1164
832	5772	1157
833	5778	1150
834	5786	1143
835	5793	1136
836	5801	1129
837	5807	1122
838	5814	1115
839	5822	1108
840	5828	1101
841	5835	1095
842	5842	1088
843	5849	1081
844	5856	1074
845	5864	1067
846	5872	1060
847	5879	1053
848	5886	1046
849	5893	1040
850	5899	1032
851	5906	1025
852	5912	1018
853	5919	1012
854	5926	1005
855	5933	998
856	5939	991
857	5945	984
858	5951	976
859	5958	969
860	5965	963
861	5972	956
862	5979	949
863	5986	942
864	5993	935
865	6001	928
866	6008	921
867	6016	914
868	6023	908
869	6030	901
870	6037	894
871	6044	887
872	6051	880
873	6057	873
874	6064	866
875	6071	859
876	6079	852
877	6085	845
878	6092	838
879	6099	831
880	6106	824
881	6112	817
882	6119	810
883	6125	803
884	6132	796
885	6138	789
886	6145	782
887	6152	775
888	6158	768
889	6165	762
890	6172	755
891	6178	748
892	6185	741
893	6192	734
894	6199	727
895	6206	720
896	6213	713
897	6220	706
898	6226	699
899	6233	692
900	6240	685
901	6247	678
902	6253	671
903	6260	664
904	6267	657
905	6274	650
906	6280	643
907	6287	637
908	6294	630
909	6301	623
910	6309	616
911	6316	609
912	6323	602
913	6330	595
914	6337	588
915	6344	581
916	6351	574
917	6358	567
918	6366	561
919	6373	554
920	6380	547
921	6387	540
922	6393	533
923	6400	526
924	6407	519
925	6413	512
926	6420	505
927	6427	498
928	6433	491
929	6439	484
930	6446	477
931	6453	470
932	6460	463
933	6466	456
934	6474	450
935	6481	443
936	6487	436
937	6494	429
938	6502	422
939	6509	415
940	6516	408
941	6524	401
942	6531	394
943	6538	387
944	6545	380
945	6552	374
946	6559	367
947	6566	360
948	6573	353
949	6580	346
950	6587	339
951	6593	332
952	6600	325
953	6607	318
954	6615	311
955	6622	304
956	6629	297
957	6636	290
958	6643	284
959	6650	277
960	6656	270
961	6662	263
962	6668	256
963	6675	249
964	6682	242
965	6689	235
966	6695	228
967	6702	221
968	6709	214
969	6716	207
970	6723	200
971	6730	193
972	6737	186
973	6744	180
974	6751	173
975	6758	166
976	6766	159
977	6774	152
978	6781	145
979	6788	138
980	6795	131
981	6803	124
982	6809	117
983	6817	110
984	6823	103
985	6830	96
986	6837	90
987	6844	83
988	6851	76
989	6857	69
990	6863	62
991	6871	55
992	6878	48
993	6886	41
994	6892	34
995	6899	27
996	6906	20
997	6913	13
998	6921	6
999	6928	0
