iter	Logloss
0	0.6505462817
1	0.6190068336
2	0.5916694343
3	0.571154035
4	0.5554729014
5	0.5421062448
6	0.531599162
7	0.522726645
8	0.5153321421
9	0.5092196331
10	0.5041186796
11	0.5006693408
12	0.4977289125
13	0.4952594608
14	0.4929457936
15	0.4910511464
16	0.4895083465
17	0.4884150414
18	0.4875248744
19	0.4865693673
20	0.4856657316
21	0.4850600259
22	0.4840297592
23	0.4834763937
24	0.4830511509
25	0.4826360948
26	0.482119768
27	0.4815347341
28	0.4812075652
29	0.4808204694
30	0.4802587925
31	0.4799029814
32	0.4797399936
33	0.4794187066
34	0.4791580285
35	0.4789175534
36	0.4787357266
37	0.47845638
38	0.478258101
39	0.4780619531
40	0.477805452
41	0.4775886323
42	0.4773116298
43	0.4771900284
44	0.477122813
45	0.4770178768
46	0.4767419399
47	0.4765345824
48	0.4761693944
49	0.4760043608
50	0.4758914116
51	0.4754776768
52	0.4751996088
53	0.4750401161
54	0.4747617924
55	0.4746627808
56	0.474364595
57	0.4740966285
58	0.4735871214
59	0.4734216615
60	0.4730971352
61	0.4729482981
62	0.4725910379
63	0.4722637837
64	0.4721198055
65	0.4718175281
66	0.4717031724
67	0.4716148163
68	0.4713676069
69	0.4712651429
70	0.4709423214
71	0.470714633
72	0.4704402732
73	0.4703478254
74	0.4700437152
75	0.4698716062
76	0.4696400392
77	0.4695320343
78	0.4692825658
79	0.469161007
80	0.4689802458
81	0.4687440329
82	0.4686701684
83	0.4685560685
84	0.4684068051
85	0.4681038883
86	0.4678537379
87	0.4677441986
88	0.4676257086
89	0.4672967921
90	0.4670190225
91	0.4667804228
92	0.4664895681
93	0.4662998136
94	0.4661315833
95	0.465891918
96	0.4657373695
97	0.4653622078
98	0.4651895875
99	0.4646090715
100	0.464403632
101	0.4641731731
102	0.464000638
103	0.4635883097
104	0.46340286
105	0.4632431116
106	0.4627209029
107	0.462287775
108	0.4621291773
109	0.46196197
110	0.4617244784
111	0.4615318256
112	0.4611590508
113	0.4609978532
114	0.4608797041
115	0.4607182508
116	0.4605595253
117	0.460099801
118	0.4599526688
119	0.4595148097
120	0.4593730905
121	0.4592546857
122	0.4591496217
123	0.4590116533
124	0.4587920631
125	0.458586794
126	0.4581350827
127	0.4579747376
128	0.4575195739
129	0.4573798579
130	0.456860846
131	0.4565566505
132	0.4561171292
133	0.4557582919
134	0.4556406117
135	0.4551249243
136	0.454763828
137	0.4543159527
138	0.4540483698
139	0.4536789622
140	0.4533265609
141	0.4532426376
142	0.4530385619
143	0.4527327894
144	0.4524057058
145	0.4521422999
146	0.4518299636
147	0.4517326994
148	0.4515980982
149	0.4512809881
150	0.451046267
151	0.4509644748
152	0.4507450551
153	0.4506482599
154	0.4505466909
155	0.4503964046
156	0.4502875472
157	0.450204732
158	0.4499911942
159	0.4498779467
160	0.4497413422
161	0.4495252045
162	0.449169777
163	0.449044851
164	0.4488591029
165	0.4485923724
166	0.4481987554
167	0.4477687388
168	0.4475359357
169	0.4474511173
170	0.4473404698
171	0.447061933
172	0.4469590853
173	0.4466494342
174	0.44653559
175	0.4463974084
176	0.4459331235
177	0.4458090074
178	0.445625774
179	0.4455158937
180	0.4450924836
181	0.4448208516
182	0.4445640521
183	0.4444554505
184	0.4443846122
185	0.4440804167
186	0.4439583038
187	0.4438526004
188	0.4434972156
189	0.4433844369
190	0.4429260765
191	0.4428214814
192	0.4424852765
193	0.4423786355
194	0.4422817124
195	0.4421583634
196	0.4420516797
197	0.4419700154
198	0.4418516958
199	0.4417774477
200	0.4416919048
201	0.4415076059
202	0.4411995318
203	0.4410981333
204	0.4409986528
205	0.4407939378
206	0.4406791985
207	0.4405792492
208	0.4404859916
209	0.4404024092
210	0.440301437
211	0.4398892365
212	0.4396922362
213	0.4394047487
214	0.4391511459
215	0.4388647666
216	0.4387711679
217	0.4384513301
218	0.4382080419
219	0.4379195741
220	0.4378477555
221	0.4377531766
222	0.4374189324
223	0.4372054798
224	0.4370899733
225	0.43699646
226	0.4368994516
227	0.4366843794
228	0.4366042494
229	0.4364981625
230	0.4363558039
231	0.435963977
232	0.435765357
233	0.4356296049
234	0.4354880562
235	0.4354002969
236	0.4352976197
237	0.4352035096
238	0.4350998948
239	0.4350176763
240	0.4349294908
241	0.4348297972
242	0.4344398456
243	0.4340882967
244	0.4339395022
245	0.4338309432
246	0.4336246086
247	0.43343869
248	0.4332751056
249	0.433136583
250	0.4330521909
251	0.4327745491
252	0.4327210155
253	0.432655505
254	0.4325644637
255	0.4323016545
256	0.4321416077
257	0.431954581
258	0.431788013
259	0.4317202435
260	0.4316361923
261	0.4314943452
262	0.4312851123
263	0.4311989726
264	0.430860594
265	0.4305826539
266	0.4305023108
267	0.4304272529
268	0.4302318722
269	0.4301653814
270	0.4300787729
271	0.4295349547
272	0.4294427627
273	0.4293557705
274	0.4290172215
275	0.4289354719
276	0.428802064
277	0.428667548
278	0.4284862753
279	0.4281239003
280	0.4280394229
281	0.4278943792
282	0.4278156558
283	0.4277278112
284	0.4275915476
285	0.4272847522
286	0.4269988843
287	0.426947908
288	0.4266839054
289	0.4266221883
290	0.4263372155
291	0.4262431907
292	0.4261697524
293	0.4260764522
294	0.4259926567
295	0.4259248872
296	0.4256138722
297	0.4253841379
298	0.4250611886
299	0.4248928304
300	0.4245826252
301	0.4244248374
302	0.4243476058
303	0.4241423367
304	0.4240694099
305	0.423734569
306	0.423592381
307	0.4235191132
308	0.423464514
309	0.4232094195
310	0.4231397746
311	0.4230665921
312	0.422808173
313	0.4225899467
314	0.4224554307
315	0.4223779859
316	0.4223046756
317	0.4222315357
318	0.4221720349
319	0.4220785216
320	0.421779185
321	0.4216979469
322	0.4215745127
323	0.4213825844
324	0.4211694302
325	0.4210935625
326	0.4209269945
327	0.4208518939
328	0.4207857867
329	0.4204726406
330	0.4203968581
331	0.4203339902
332	0.4201751794
333	0.4200046049
334	0.4197243632
335	0.4196467053
336	0.4193834699
337	0.4193215823
338	0.4191322114
339	0.4188247766
340	0.4187562825
341	0.4185977701
342	0.4184836702
343	0.418401196
344	0.4183286102
345	0.4180695944
346	0.4179893792
347	0.4179181999
348	0.4177588777
349	0.4176968622
350	0.4175311893
351	0.4174768032
352	0.4174056666
353	0.4173353398
354	0.4172311282
355	0.4171812601
356	0.4170256886
357	0.416960647
358	0.4166494615
359	0.4165920492
360	0.4164949556
361	0.4162688442
362	0.4161925076
363	0.4160237232
364	0.4158262967
365	0.4154867673
366	0.4153543824
367	0.4152979504
368	0.4151457462
369	0.4150804061
370	0.414979647
371	0.4149088939
372	0.414677199
373	0.4144067604
374	0.4143464499
375	0.414130099
376	0.414067913
377	0.4139922158
378	0.4137467965
379	0.4135805695
380	0.4132716003
381	0.4132144012
382	0.4129710277
383	0.4127660996
384	0.4127050645
385	0.4126469276
386	0.4124613927
387	0.4124032132
388	0.412235878
389	0.4121563448
390	0.4120906212
391	0.4119815933
392	0.4119324071
393	0.411675906
394	0.4115888713
395	0.4114413554
396	0.4112538599
397	0.4111383534
398	0.4108917407
399	0.4106227086
400	0.410511166
401	0.4104540095
402	0.4101681842
403	0.4100814478
404	0.409924683
405	0.4097329678
406	0.4095757341
407	0.4093435703
408	0.4092801909
409	0.4090918003
410	0.409022539
411	0.4088673085
412	0.408729127
413	0.4084982419
414	0.4082327049
415	0.4080572288
416	0.4079082638
417	0.4078256618
418	0.4077157388
419	0.4076558545
420	0.4075926456
421	0.4072869157
422	0.4072180807
423	0.4071561078
